candidate,count,final,score
黑暗,12,65.01636481387857,5.418030401156548
的身份,6,64.97220427597215,10.828700712662025
妮莉,11,64.94400145539979,5.904000132309072
梁木,7,64.68911473602189,9.241302105145985
今晚,9,64.64182968129069,7.1824255201434095
众人,9,64.59436932568978,7.177152147298864
境长城,11,64.5350407445228,5.8668218858657095
如果,11,64.3427729196014,5.849342992691037
男人,12,64.24587735009808,5.353823112508174
最後,11,64.1078864998118,5.827989681801072
眼神,15,64.04029161380338,4.269352774253559
雷利,13,63.98699143902117,4.92207626454009
不准,12,63.91723926170471,5.326436605142059
她身边,10,63.709739480005126,6.370973948000513
御前首相,6,63.70118678041703,10.61686446340284
晚宴,6,63.51973933496859,10.586623222494765
泪水,8,63.47383315675516,7.934229144594395
偷偷,6,63.39976680946717,10.56662780157786
规矩,4,63.20936744946046,15.802341862365115
斯爵士,10,63.185190223864126,6.318519022386413
这麽,12,63.17506965094023,5.264589137578352
的微笑,8,63.14397596104095,7.892996995130119
水晶,6,63.13435116842144,10.522391861403573
第一,11,63.037410797429864,5.73067370885726
有朝一,10,62.95374582336745,6.295374582336745
顿时,7,62.82744827052203,8.975349752931718
一抹,9,62.796698790706444,6.97741097674516
星期,8,62.777300909012126,7.847162613626516
碰撞,5,62.73481696651673,12.546963393303347
金黄,8,62.52702389272057,7.815877986590071
耳朵,6,62.35356344642065,10.392260574403442
努力,5,62.346912275445035,12.469382455089008
史坦尼斯,6,62.33359354582557,10.388932257637595
窗棂,5,62.31919545595417,12.463839091190835
的窗户,5,62.315020890188784,12.463004178037757
有种,14,62.2376421927408,4.445545870910057
巴利斯坦,5,62.23580434046403,12.447160868092805
另外,7,62.21158535330979,8.887369336187113
黑衫军,5,62.162090668313816,12.432418133662763
表现,8,62.03651955960454,7.754564944950568
威玛爵士,7,61.832144153779396,8.833163450539914
意思,10,61.5338900027529,6.15338900027529
若有所,6,61.471031739803465,10.24517195663391
多久,9,61.433263662291616,6.825918184699068
仍然,9,61.344162047505066,6.816018005278341
不断,11,61.34328986703427,5.576662715184934
狭窄,5,61.340400904569776,12.268080180913955
瓦里,13,61.26472945320816,4.7126714964006275
的故事,7,61.21642339679223,8.74520334239889
灰色,11,61.13650752987727,5.5578643208979335
十六,7,61.083398023800044,8.72619971768572
胡须,6,61.053029287018106,10.175504881169685
蓝色,9,60.98880343976664,6.776533715529627
床上,10,60.952895423184316,6.095289542318431
的家伙,6,60.72989249148321,10.121648748580535
烈焰,5,60.660700898800535,12.132140179760107
的武器,7,60.5889393338916,8.655562761984514
在一起,11,60.44799007385598,5.495271824895998
安家族,9,60.437427746645426,6.71526974962727
苍白,6,60.2919112839406,10.048651880656767
怒吼,6,60.270524029957464,10.045087338326244
坐骑,9,60.24197980072944,6.69355331119216
的年轻,7,60.21864418488773,8.602663454983961
一座,13,60.13198503488703,4.625537310375925
拇指,5,60.07408295811764,12.014816591623529
臂膀,6,59.88168082051612,9.980280136752686
结果,8,59.7954895381599,7.474436192269987
倒是,12,59.70811665818458,4.975676388182048
的私生子,9,59.70319963826942,6.633688848696602
十四岁,5,59.3693610034922,11.87387220069844
这会儿,6,59.20783286201048,9.867972143668412
命令,7,59.19606048554226,8.45658006936318
武器库,5,59.195028623801406,11.83900572476028
辽阔,4,59.166767567747534,14.791691891936884
沐浴,4,59.166767567747534,14.791691891936884
的血液,5,58.82988023231228,11.765976046462455
广场,6,58.788787512964205,9.798131252160701
泰温,7,58.782085567185334,8.39744079531219
战士,9,58.65551844757576,6.517279827508418
罪恶,5,58.65288328582011,11.730576657164022
莱莎,6,58.56723646669384,9.761206077782306
邀请,4,58.40760857689609,14.601902144224022
习惯,5,58.329445323525434,11.665889064705087
色眼瞳,5,58.321365631124124,11.664273126224824
率领,5,58.17905982707222,11.635811965414444
清晨,6,58.168133680505,9.694688946750833
瞧瞧,7,58.112329196696805,8.301761313813829
楼梯,5,57.82598658453419,11.565197316906838
毒蛇,4,57.80452300213114,14.451130750532785
毕竟,5,57.75391131854343,11.550782263708687
轻轻,10,57.64614367711272,5.764614367711272
原谅,5,57.60244604537688,11.520489209075375
冷空气,6,57.58607719822277,9.597679533037129
坚毅,4,57.58180506702638,14.395451266756595
在这里,9,57.5254142186283,6.3917126909587
的脸庞,5,57.487628962684845,11.497525792536969
因此,8,57.47021065007465,7.183776331259331
双手,13,57.3509749944486,4.411613461111431
的兄弟,6,57.33863148169854,9.556438580283091
若有所思,5,57.129908726241624,11.425981745248325
根本就,9,57.12653237156424,6.34739248572936
有些,12,57.05881642405565,4.754901368671304
纷纷,5,57.02571619679283,11.405143239358566
兰登,11,56.91963222153666,5.174512020139696
针线,6,56.67347619521961,9.445579365869934
他的小狼,7,56.58069906283468,8.082957008976383
决定,7,56.46228123373424,8.066040176247748
征服,6,56.46014663751813,9.410024439586355
随着,12,56.45911400037241,4.7049261666977005
拥有,8,56.35130592235626,7.043913240294533
很快就,7,56.31777622695747,8.045396603851067
一切都,8,56.23718181546012,7.029647726932515
伊耿,6,56.233182479937646,9.372197079989608
男子,10,56.2058680127178,5.62058680127178
椅子,7,56.13619874983701,8.01945696426243
在他身,13,56.044762242147286,4.311135557088253
养子,9,56.04120399485874,6.226800443873193
去找,12,55.93222443358512,4.66101870279876
是因为,6,55.63022903128858,9.271704838548096
拨弄,5,55.62248758062193,11.124497516124386
御前,9,55.35119491490207,6.150132768322452
熊熊,6,55.27854344074617,9.213090573457695
愤怒,5,55.27034137323734,11.054068274647468
的石棺,4,55.237580210606716,13.809395052651679
